article_link,date_time,article_title
https://video.kompas.com/watch/938881/1100-korban-orang-tewas-dalam-perang-hamas-israel,"09/10/2023, 13:33 WIB",1.100 Korban Orang Tewas dalam Perang Hamas-Israel
https://video.kompas.com/watch/938763/pesawat-tempur-israel-terus-bombardir-jalur-gaza,"09/10/2023, 13:24 WIB",Pesawat Tempur Israel Terus Bombardir Jalur Gaza
https://video.kompas.com/watch/938750/israel-dan-hamas-bergejolak-begini-nasib-wni-di-gaza,"09/10/2023, 13:18 WIB",Israel dan Hamas Bergejolak! Begini Nasib WNI di Gaza
http://nasional.kompas.com/read/2023/10/09/13173781/kemenlu-275-wni-di-palestina-dan-israel-tak-jadi-korban-konflik-israel,"09/10/2023, 13:17 WIB",Kemenlu: 275 WNI di Palestina dan Israel Tak Jadi Korban Konflik Israel-Palestina
https://video.kompas.com/watch/938590/mengenal-hamas-yang-bikin-tentara-israel-kocar-kacir,"09/10/2023, 12:27 WIB",Mengenal Hamas yang Bikin Tentara Israel Kocar-kacir!
https://video.kompas.com/watch/938566/zelensky-ungkap-2-warga-ukraina-tewas-dalam-serangan-palestina-ke-israel,"09/10/2023, 12:13 WIB",Zelensky Ungkap 2 Warga Ukraina Tewas dalam Serangan Palestina ke Israel
http://www.kompas.com/tren/read/2023/10/09/114500465/perang-yom-kippur-1973-saat-negara-arab-ramai-embargo-minyak-ke-as,"09/10/2023, 11:45 WIB","Perang Yom Kippur 1973, Saat Negara Arab Ramai Embargo Minyak ke AS"
https://video.kompas.com/watch/938384/rekam-jejak-konflik-israel-vs-hamas-di-jalur-gaza,"09/10/2023, 11:18 WIB",Rekam Jejak Konflik Israel Vs Hamas di Jalur Gaza
https://video.kompas.com/watch/938383/israel-tuding-iran-terlibat-serangan-besar-hamas-ke-israel,"09/10/2023, 11:11 WIB",Israel Tuding Iran Terlibat Serangan Besar Hamas ke Israel
http://money.kompas.com/read/2023/10/09/103747126/rupiah-tertekan-terimbas-konflik-israel-palestina,"09/10/2023, 10:37 WIB",Rupiah Tertekan Terimbas Konflik Israel-Palestina
http://www.kompas.com/tren/read/2023/10/09/094500565/efek-global-buntut-serangan-hamas-ke-israel-harga-minyak-mentah-terancam,"09/10/2023, 09:45 WIB","Efek Global Buntut Serangan Hamas ke Israel, Harga Minyak Mentah Terancam Naik"
https://video.kompas.com/watch/938215/serangan-israel-mengenai-rs-indonesia-di-gaza-1-staf-lokal-tewas,"09/10/2023, 09:44 WIB","Serangan Israel Mengenai RS Indonesia di Gaza, 1 Staf Lokal Tewas"
https://video.kompas.com/watch/938093/detik-detik-serangan-israel-kacaukan-laporan-langsung-dari-gaza,"09/10/2023, 09:19 WIB","Detik-detik Serangan Israel ""Kacaukan"" Laporan Langsung dari Gaza"
http://www.kompas.com/global/read/2023/10/09/081400670/di-pbb-utusan-palestina-dan-israel-sampaikan-harapan-masing-masing-,"09/10/2023, 08:14 WIB","Di PBB, Utusan Palestina dan Israel Sampaikan Harapan Masing-masing"
http://nasional.kompas.com/read/2023/10/09/08081521/fakta-fakta-serangan-israel-ke-palestina-rs-indonesia-ikut-terdampak-wni,"09/10/2023, 08:08 WIB","Fakta-fakta Serangan Israel ke Palestina: RS Indonesia Ikut Terdampak, WNI Aman"
https://video.kompas.com/watch/937975/israel-deklarasikan-perang-secara-resmi-pertama-kali-sejak-50-tahun,"09/10/2023, 07:44 WIB","Israel Deklarasikan Perang Secara Resmi, Pertama Kali Sejak 50 Tahun,"
http://www.kompas.com/tren/read/2023/10/09/053000165/-populer-tren-alasan-hamas-serang-israel-netanyahu-putus-pasokan-listrik,"09/10/2023, 05:30 WIB",[POPULER TREN] Alasan Hamas Serang Israel | Netanyahu Putus Pasokan Listrik dan Makanan ke Gaza
http://www.kompas.com/tren/read/2023/10/08/223247465/israel-resmi-deklarasikan-perang-melawan-hamas-pertama-kali-sejak-1973,"08/10/2023, 22:32 WIB","Israel Resmi Deklarasikan Perang Melawan Hamas, Pertama Kali sejak 1973"
http://www.kompas.com/tren/read/2023/10/08/213000565/13-kutipan-terkenal-yasser-arafat-pemimpin-organisasi-pembebasan-palestina,"08/10/2023, 21:30 WIB","13 Kutipan Terkenal Yasser Arafat, Pemimpin Organisasi Pembebasan Palestina"
https://video.kompas.com/watch/937584/detik-detik-gedung-di-gaza-runtuh-akibat-serangan-udara-israel,"08/10/2023, 20:13 WIB",Detik-detik Gedung di Gaza Runtuh akibat Serangan Udara Israel
